Feature,Importance
lag_1,10262.553
rolling_mean_4,2656.4602
lag_2,1042.4014
lag_4,852.7151
MarkDown4,282.91504
lag_8,251.45291
Dept,182.69905
MarkDown2,158.093
Week,148.52094
DayOfYear,112.11416
Week_cos,111.73455
rolling_std_4,103.6296
Week_sin,84.789894
Month,81.16297
IsHoliday,73.81545
MarkDown1,51.29045
Size,49.51267
Temperature,44.348827
Fuel_Price,32.001614
Store,30.641016
MarkDown3,29.276043
MarkDown5,29.175621
Unemployment,27.939522
Total_MarkDown,20.743227
CPI,15.9257765
Has_Promotion,13.935386
Quarter,4.658278
Year,1.1018777
Type,1.0042305
